n,prime,is_mersenne,ms
656,1000000000000031483,0,0.005
657,1000000000000031507,0,0.006
658,1000000000000031531,0,0.009
659,1000000000000031551,0,0.010
660,1000000000000031567,0,0.005
661,1000000000000031627,0,0.010
662,1000000000000031629,0,0.008
663,1000000000000031669,0,0.009
664,1000000000000031689,0,0.008
665,1000000000000031711,0,0.008
666,1000000000000031713,0,0.005
667,1000000000000031783,0,0.011
668,1000000000000031831,0,0.011
669,1000000000000031861,0,0.009
670,1000000000000031903,0,0.008
671,1000000000000031929,0,0.009
672,1000000000000031993,0,0.012
673,1000000000000032131,0,0.020
674,1000000000000032133,0,0.005
675,1000000000000032209,0,0.014
676,1000000000000032211,0,0.008
677,1000000000000032253,0,0.008
678,1000000000000032331,0,0.014
679,1000000000000032349,0,0.008
680,1000000000000032463,0,0.016
681,1000000000000032599,0,0.020
682,1000000000000032623,0,0.008
683,1000000000000032653,0,0.006
684,1000000000000032751,0,0.016
685,1000000000000032767,0,0.005
686,1000000000000032827,0,0.010
687,1000000000000032841,0,0.009
688,1000000000000032943,0,0.012
689,1000000000000032961,0,0.010
690,1000000000000032971,0,0.007
691,1000000000000032979,0,0.007
692,1000000000000033013,0,0.008
693,1000000000000033037,0,0.006
694,1000000000000033061,0,0.009
695,1000000000000033099,0,0.010
696,1000000000000033141,0,0.013
697,1000000000000033183,0,0.007
698,1000000000000033213,0,0.007
699,1000000000000033247,0,0.008
700,1000000000000033343,0,0.012
701,1000000000000033427,0,0.013
702,1000000000000033453,0,0.007
703,1000000000000033463,0,0.005
704,1000000000000033517,0,0.009
705,1000000000000033541,0,0.009
706,1000000000000033619,0,0.016
707,1000000000000033651,0,0.011
708,1000000000000033673,0,0.005
709,1000000000000033757,0,0.011
710,1000000000000033759,0,0.007
711,1000000000000033853,0,0.015
712,1000000000000033913,0,0.010
713,1000000000000033993,0,0.010
714,1000000000000034051,0,0.012
715,1000000000000034101,0,0.013
716,1000000000000034147,0,0.007
717,1000000000000034153,0,0.005
718,1000000000000034179,0,0.009
719,1000000000000034183,0,0.005
720,1000000000000034303,0,0.015
721,1000000000000034321,0,0.008
722,1000000000000034381,0,0.012
723,1000000000000034417,0,0.007
724,1000000000000034419,0,0.008
725,1000000000000034431,0,0.007
726,1000000000000034441,0,0.006
727,1000000000000034569,0,0.020
728,1000000000000034659,0,0.017
729,1000000000000034687,0,0.006
730,1000000000000034741,0,0.013
731,1000000000000034833,0,0.012
732,1000000000000034879,0,0.012
733,1000000000000034963,0,0.013
734,1000000000000034983,0,0.006
735,1000000000000034993,0,0.006
736,1000000000000035029,0,0.010
737,1000000000000035031,0,0.007
738,1000000000000035071,0,0.010
739,1000000000000035079,0,0.008
740,1000000000000035101,0,0.008
741,1000000000000035103,0,0.004
742,1000000000000035179,0,0.015
743,1000000000000035193,0,0.006
744,1000000000000035197,0,0.004
745,1000000000000035257,0,0.009
746,1000000000000035323,0,0.010
747,1000000000000035343,0,0.006
748,1000000000000035403,0,0.010
749,1000000000000035431,0,0.009
750,1000000000000035473,0,0.009
751,1000000000000035479,0,0.007
752,1000000000000035493,0,0.006
753,1000000000000035509,0,0.009
754,1000000000000035511,0,0.008
755,1000000000000035631,0,0.016
756,1000000000000035653,0,0.007
757,1000000000000035689,0,0.010
758,1000000000000035703,0,0.006
759,1000000000000035731,0,0.010
760,1000000000000035763,0,0.009
761,1000000000000035773,0,0.006
762,1000000000000035863,0,0.013
763,1000000000000035899,0,0.011
764,1000000000000035919,0,0.009
765,1000000000000035943,0,0.006
766,1000000000000035953,0,0.005
767,1000000000000036067,0,0.016
768,1000000000000036121,0,0.012
769,1000000000000036183,0,0.010
770,1000000000000036261,0,0.014
771,1000000000000036283,0,0.007
772,1000000000000036319,0,0.011
773,1000000000000036489,0,0.024
774,1000000000000036523,0,0.008
775,1000000000000036531,0,0.008
776,1000000000000036549,0,0.009
777,1000000000000036571,0,0.008
778,1000000000000036573,0,0.005
779,1000000000000036723,0,0.019
780,1000000000000036733,0,0.006
781,1000000000000036757,0,0.007
782,1000000000000036873,0,0.017
