n,prime,is_mersenne,ms
461,1000000000000022159,0,0.045
462,1000000000000022183,0,0.010
463,1000000000000022237,0,0.014
464,1000000000000022299,0,0.022
465,1000000000000022321,0,0.011
466,1000000000000022327,0,0.005
467,1000000000000022363,0,0.012
468,1000000000000022473,0,0.027
469,1000000000000022507,0,0.012
470,1000000000000022597,0,0.023
471,1000000000000022639,0,0.016
472,1000000000000022719,0,0.022
473,1000000000000022741,0,0.009
474,1000000000000022849,0,0.028
475,1000000000000022851,0,0.006
476,1000000000000022869,0,0.009
477,1000000000000022873,0,0.005
478,1000000000000022929,0,0.019
479,1000000000000023059,0,0.033
480,1000000000000023089,0,0.010
481,1000000000000023109,0,0.011
482,1000000000000023193,0,0.020
483,1000000000000023229,0,0.013
484,1000000000000023299,0,0.020
485,1000000000000023317,0,0.007
486,1000000000000023401,0,0.020
487,1000000000000023409,0,0.007
488,1000000000000023439,0,0.012
489,1000000000000023493,0,0.014
490,1000000000000023523,0,0.010
491,1000000000000023527,0,0.005
492,1000000000000023571,0,0.016
493,1000000000000023593,0,0.007
494,1000000000000023619,0,0.011
495,1000000000000023721,0,0.027
496,1000000000000023731,0,0.006
497,1000000000000023739,0,0.008
498,1000000000000023797,0,0.014
499,1000000000000023811,0,0.009
500,1000000000000023829,0,0.009
501,1000000000000023851,0,0.009
502,1000000000000024021,0,0.041
503,1000000000000024043,0,0.008
504,1000000000000024069,0,0.010
505,1000000000000024099,0,0.011
506,1000000000000024217,0,0.027
507,1000000000000024223,0,0.005
508,1000000000000024253,0,0.009
509,1000000000000024367,0,0.027
510,1000000000000024403,0,0.012
511,1000000000000024409,0,0.007
512,1000000000000024427,0,0.008
513,1000000000000024459,0,0.011
514,1000000000000024489,0,0.012
515,1000000000000024591,0,0.028
516,1000000000000024691,0,0.026
517,1000000000000024763,0,0.020
518,1000000000000024783,0,0.008
519,1000000000000024817,0,0.012
520,1000000000000024943,0,0.029
521,1000000000000024949,0,0.007
522,1000000000000024973,0,0.009
523,1000000000000024997,0,0.008
524,1000000000000025029,0,0.013
525,1000000000000025119,0,0.024
526,1000000000000025209,0,0.025
527,1000000000000025279,0,0.021
528,1000000000000025449,0,0.040
529,1000000000000025509,0,0.019
530,1000000000000025537,0,0.009
531,1000000000000025569,0,0.013
532,1000000000000025597,0,0.009
533,1000000000000025599,0,0.006
534,1000000000000025627,0,0.008
535,1000000000000025641,0,0.008
536,1000000000000025653,0,0.005
537,1000000000000025671,0,0.011
538,1000000000000025719,0,0.016
539,1000000000000025771,0,0.015
540,1000000000000025789,0,0.010
541,1000000000000025803,0,0.005
542,1000000000000025807,0,0.005
543,1000000000000025837,0,0.013
544,1000000000000025897,0,0.017
545,1000000000000025911,0,0.009
546,1000000000000025929,0,0.008
547,1000000000000025933,0,0.005
548,1000000000000025989,0,0.016
549,1000000000000026043,0,0.015
550,1000000000000026061,0,0.010
551,1000000000000026079,0,0.008
552,1000000000000026149,0,0.018
553,1000000000000026167,0,0.007
554,1000000000000026169,0,0.006
555,1000000000000026191,0,0.009
556,1000000000000026197,0,0.005
557,1000000000000026227,0,0.009
558,1000000000000026401,0,0.042
559,1000000000000026611,0,0.049
560,1000000000000026631,0,0.009
561,1000000000000026659,0,0.011
562,1000000000000026731,0,0.021
563,1000000000000026793,0,0.015
564,1000000000000026841,0,0.016
565,1000000000000026929,0,0.024
566,1000000000000027109,0,0.040
567,1000000000000027127,0,0.008
568,1000000000000027171,0,0.015
569,1000000000000027199,0,0.012
570,1000000000000027307,0,0.022
571,1000000000000027471,0,0.043
572,1000000000000027501,0,0.011
573,1000000000000027517,0,0.006
574,1000000000000027519,0,0.006
575,1000000000000027541,0,0.009
576,1000000000000027673,0,0.030
577,1000000000000027679,0,0.006
578,1000000000000027699,0,0.010
579,1000000000000027769,0,0.021
580,1000000000000027879,0,0.028
581,1000000000000027883,0,0.005
582,1000000000000027909,0,0.010
583,1000000000000027919,0,0.007
584,1000000000000028023,0,0.027
585,1000000000000028087,0,0.016
